scouts,rescue,seed,step,rescued_victims,detected_victims,explored_fraction,collisions
0,2,0,2500,11,11,0.6748051948051949,0
0,2,0,3000,11,11,0.681038961038961,0
0,2,0,3500,11,11,0.8155844155844156,0
0,2,0,4000,13,13,0.8628571428571429,0
0,2,0,4500,13,13,0.8758441558441559,0
0,2,1,500,4,4,0.49766233766233764,0
0,2,1,1000,5,5,0.6,0
0,2,1,1500,7,8,0.6888311688311688,0
0,2,1,2000,10,10,0.7563636363636363,0
0,2,1,2500,12,12,0.7574025974025974,0
0,2,1,3000,12,12,0.8228571428571428,0
0,2,1,3500,12,12,0.8322077922077922,0
0,2,1,4000,13,13,0.8644155844155844,0
0,2,1,4500,14,14,0.8779220779220779,0
0,2,2,500,6,6,0.44,0
0,2,2,1000,7,7,0.6150649350649351,0
0,2,2,1500,7,7,0.6883116883116883,0
0,2,2,2000,7,7,0.6961038961038961,0
0,2,2,2500,8,8,0.7251948051948052,0
0,2,2,3000,8,8,0.7605194805194805,0
0,2,2,3500,11,11,0.8389610389610389,0
0,2,2,4000,11,11,0.8394805194805195,0
0,2,2,4500,12,12,0.84,0
0,2,3,500,4,7,0.4228571428571429,0
0,2,3,1000,6,7,0.4675324675324675,0
0,2,3,1500,8,9,0.5179220779220779,0
