scouts,rescue,total_robots,seed,rescued_victims,detected_victims,explored_fraction,collisions,repeated_visits,mean_localization_error,completion_time,mission_completed
0,3,3,0,15,15,0.9002597402597402,0,6,32.49414872916679,60.583333333333336,True
0,3,3,1,15,15,0.8690909090909091,0,6,10.008706433334508,59.56666666666666,True
0,3,3,2,15,15,0.8903896103896104,0,5,35.74352157411678,68.96666666666667,True
0,3,3,3,15,15,0.8742857142857143,59,7,16.133572476432263,60.93333333333333,True
0,3,3,4,15,15,0.8857142857142857,0,4,25.22015972837191,61.016666666666666,True
1,3,4,0,15,15,0.8903896103896104,0,8,18.08789170806471,67.6,True
1,3,4,1,15,15,0.8805194805194805,0,10,14.505735349027846,71.2,True
1,3,4,2,15,15,0.907012987012987,0,8,47.779569408993204,68.9,True
1,3,4,3,15,15,0.8909090909090909,0,8,19.4293506442771,59.25,True
1,3,4,4,15,15,0.892987012987013,0,9,38.80725010064574,54.6,True
2,3,5,0,15,15,0.9033766233766234,0,7,34.79937717841799,67.2,True
2,3,5,1,15,15,0.8893506493506493,0,6,14.668271951326755,43.65,True
2,3,5,2,15,15,0.8976623376623377,0,7,43.178175488672174,48.36666666666667,True
2,3,5,3,15,15,0.8883116883116883,0,7,21.356808350596513,49.75,True
2,3,5,4,15,15,0.8592207792207792,0,8,30.847467741524092,44.03333333333333,True
3,3,6,0,15,15,0.8955844155844156,0,8,26.31347284586789,39.78333333333333,True
3,3,6,1,15,15,0.8716883116883117,0,11,14.66785302123541,33.583333333333336,True
3,3,6,2,15,15,0.9116883116883117,0,8,41.667819419760434,45.36666666666667,True
3,3,6,3,15,15,0.8794805194805195,0,11,16.516646147308112,32.4,True
3,3,6,4,15,15,0.9012987012987013,0,13,35.179358117416534,39.85,True
4,3,7,0,15,15,0.9033766233766234,0,7,28.319000737709782,40.88333333333333,True
4,3,7,1,15,15,0.8888311688311689,0,7,13.594777148182763,47.56666666666666,True
4,3,7,2,15,15,0.9018181818181819,47,10,38.382235142400425,70.15,True
4,3,7,3,15,15,0.8966233766233767,0,14,21.03262194805227,38.2,True
4,3,7,4,15,15,0.905974025974026,0,10,39.89342263132715,35.96666666666667,True
0,4,4,0,15,15,0.8987012987012987,0,11,24.57754933250263,64.53333333333333,True
0,4,4,1,15,15,0.8883116883116883,0,12,14.272053351491932,53.88333333333333,True
0,4,4,2,15,15,0.8997402597402597,0,12,50.94371153269801,56.5,True
0,4,4,3,15,15,0.8566233766233766,0,6,15.356031169767421,57.483333333333334,True
0,4,4,4,15,15,0.9064935064935065,6,8,34.53174238139617,64.35,True
1,4,5,0,15,15,0.8872727272727273,0,10,33.14548729018141,57.55,True
1,4,5,1,15,15,0.8841558441558441,0,10,12.906305234153857,45.28333333333333,True
1,4,5,2,15,15,0.9044155844155845,0,13,45.77690756881587,45.36666666666667,True
1,4,5,3,15,15,0.8716883116883117,0,13,14.897362405764495,51.46666666666667,True
1,4,5,4,15,15,0.8924675324675325,0,9,28.261705598773943,41.233333333333334,True
2,4,6,0,15,15,0.8867532467532467,0,9,21.660853400166474,43.11666666666667,True
2,4,6,1,15,15,0.8851948051948052,0,10,19.821166729146885,45.06666666666666,True
2,4,6,2,15,15,0.9018181818181819,0,11,41.81569526534218,40.28333333333333,True
2,4,6,3,15,15,0.8763636363636363,0,15,19.402136520372448,29.833333333333332,True
2,4,6,4,15,15,0.8883116883116883,0,13,25.877455108443726,30.25,True
3,4,7,0,15,15,0.8935064935064935,0,6,28.66843748581562,36.516666666666666,True
3,4,7,1,15,15,0.8607792207792208,0,17,12.70403205579896,35.6,True
3,4,7,2,15,15,0.9023376623376623,0,13,39.60425445052655,53.65,True
3,4,7,3,15,15,0.8877922077922078,0,16,20.92550479969066,39.15,True
